id,name,url,country,location,timezone,language,bundle,keywords
610,Richmond Palladium-Item,https://www.pal-item.com/,US,Richmond,America/Indiana/Indianapolis,en,indiana|gannett|ohio|gannett,
611,Pittsburgh Institute for Nonprofit Journalism,https://pinjnews.org/,US,Pittsburgh,America/New_York,en,,"PINJ provides news coverage of issues affecting our local Pittsburgh communities and the people who live, work and learn in them."
612,Twin Cities Pioneer Press,https://www.twincities.com/,US,St. Paul,America/Chicago,en,minnesota,"St. Paul news -- including crime, politics, education, business, sports, entertainment and things to do -- from the Pioneer Press."
613,Pitchfork,https://pitchfork.com/,US,Chicago,America/Chicago,en,illinois|chicago,The Most Trusted Voice in Music.
614,Peoria Journal Star,https://www.pjstar.com/,US,Peoria,America/Chicago,en,illinois|gannett,"Get the latest breaking news, sports, entertainment and obituaries in Peoria, IL from Peoria Journal Star."
615,Platformer,https://www.platformer.news/,US,San Francisco,America/Los_Angeles,en,tech,"News at the intersection of Silicon Valley and democracy. On Monday, Tuesday, and Thursday at 5PM Pacific."
616,Pensacola News Journal,https://www.pnj.com/,US,Pensacola,America/Chicago,en,florida|gannett,
617,Pocono Record,https://www.poconorecord.com/,US,Stroudsburg,America/New_York,en,pennsylvania|gannett,"Get the latest breaking news, sports, entertainment and obituaries in Stroudsburg, PA from Pocono Record."
618,Poder 360,https://www.poder360.com.br/,BR,Brasília,America/Sao_Paulo,pt,,O jornal digital Poder360 faz jornalismo profissional e guia-se pelo interesse público e pela relevância jornalística.
619,Point Reyes Light,https://www.ptreyeslight.com/,US,Point Reyes,America/Los_Angeles,en,bay-area|california,No description available
620,Poughkeepsie Journal,https://www.poughkeepsiejournal.com/,US,Poughkeepsie,America/New_York,en,new-york-state|gannett,Poughkeepsie New York News - poughkeepsiejournal.com is the home page of Poughkeepsie New York with in depth and updated Poughkeepsie local news. Stay informed with both Poughkeepsie New York news as well as headlines and stories from around the world
621,Politifact ,https://www.politifact.com/,US,Washington,America/New_York,en,capitol-hill,PolitiFact is a fact-checking website that rates the accuracy of claims by elected officials and others on its Truth-O-Meter.
622,Chambersburg Public Opinion,https://www.publicopiniononline.com/,US,Chambersburg,America/New_York,en,pennsylvania|gannett,"Chambersburg news, Pennsylvania news, world news, national news, local news, business news, sports news, entertainment news, us news, Chambersburg Public Opinion."
623,Diario Popular,https://www.diariopopular.com.ar/,AR,Sarandi,America/Buenos_Aires,es,,No description available
