id,url,name,description
860078,https://fipan.com.br,FIPAN - Maior feira de Panificação e Confeitaria,
860212,https://receitadecaipirinha.com.br,Como Fazer Caipirinha de Limão - Receita de Caipirinha,A caipirinha de limão é muito simples de fazer e em 5 minutos você poderá preparar o drink mais famo
860358,https://natt.com.br,DBASE - Serviço de Proteção ao Crédito,Expertise em dados para proteger pessoas e empresas. Proteção ao crédito e dados de pessoas e empres
860441,https://guriainspira.com.br,Guria Inspira | Loja de Roupa Feminina e Moda Praia,"<p>essencialmente livre</p>
"
860461,https://onlinequadros.com.br,Online Quadros - Quadros Personalizados e Impressão Fine Art,
860566,https://gurgel800.com.br,Gurgel 800,
860940,https://perlatto.com.br,"Perlatto | Loja Online de Calçados: Botas, sapatos, tênis e sandálias","Os mais lindos calçados femininos e masculinos em couro: Botas, Coturnos, Tênis, Sapatos, Sapatilhas"
861021,https://multibeneficiosgpa.com.br,Multibenefícios GPA,"Leve para sua empresa cartões com custo zero, livre de taxas e com a qualidade que só o Grupo Pão de"
861085,https://rafaelcorrea.com.br,,
861100,https://ministerio-c-adolescentes.blogspot.com.br,Ministério Adolescentes,
861125,https://anima-box.blogspot.com.br,AnimaBOX - Animes Para Download,"Baixar Animes via torrent, animes para download HD 1080p completo, animes em torrent dublado e legen"
861162,https://n49shop.com.br,N49 | ImplementaÃ§Ã£o de Tecnologias Customizadas,"Não acreditamos em soluções prontas. Nós sabemos que cada negócio tem seus problemas específicos, po"
861256,https://ceismael.com.br,"Centro Espírita Ismael | Dedicado à divulgação da Doutrina Espírita, localizado na Zona Norte de São Paulo","Site do Centro Espírita Ismael, entidade divulgadora do Espiritismo no Brasil. Contém apostilas e ma"
861366,https://revistaamazonia.com.br,Revista Amazônia - Revista Amazônia,
861371,https://barbabrava.com.br,BARBA BRAVA - Produtos para barba,
861599,https://puc.com.br,Hering Store,
861756,https://educafro.org.br,EDUCAFRO – Bolsas de estudo de até 100%,
861971,https://terradamusica.com.br,Terra da Música: cursos de música 100% online. Do curso livre à Pós-Graduação.,
862012,https://icaonow.com.br,SDEA | Belo Horizonte | ICAO NOW,Somos especializados em inglês de aviação em todos os níveis. Agende já sua aula experimental Grátis
862232,https://dicasboaspracachorro.com.br,Dicas Boas pra Cachorro - Blog feito por Médico Veterinário dando dicas para cuidar melhor do seu cachorro.,
862306,https://casaeimoveis.uol.com.br,UOL Casa e Imóveis,"Arquitetura, reforma, dicas de decoração, fotos, design, jardinagem, materiais de acabamento, classi"
862399,https://worldanimalprotection.org.br,Proteja animais em todo o mundo | World Animal Protection,Proteja os animais em todo o mundo. Junte-se a nós e faça a diferença. Saiba mais sobre o trabalho d
862449,https://cruzadasclube.com.br,Cruzadas Clube e outros passatempos,
862517,https://ej.com.br,Escola de Aviação | Cursos para Pilotos | EJ - Escola de Aviação Civil,"A EJ é uma escola de aviação, que oferece cursos para Piloto Privado (PP), cursos para Piloto Comerc"
862537,https://mastertuts.com.br,Mastertuts - Cursos,Mastertuts está aqui para ajudá-lo a moldar seu próprio futuro. Com um forte conhecimento em SketchU
862648,https://fait.edu.br,Faculdade FAIT - Itapeva/SP,
862684,https://unibescultural.org.br,Home - Unibes Cultural,10 de maio às 20:00 CONCERTO O ALAÚDE BARROCO ITALIANO 11 de maio às 15:00 CLUBE DE LEITURA RACIAL 1
862763,https://filmelixo.blogspot.com.br,O melhor (dos piores) filmes B do mundo !,
862809,https://gegnet.com.br,GGNET Telecomunicações | Internet,"Oferecemos diversas opções de conectividade para o mercado residencial, corporativo, governo e ataca"
863097,https://cra-rj.adm.br,Principal - CRA-RJ,"Eleições CFA/CRA's 2024  Acervos Técnico, Intelectual e Funcional  CCO-CADASTRO DE CONSULTORES DE OR"
863290,https://institutotrata.com.br,Especialistas em Joelho e Quadril | Instituto Trata,
863487,https://koralle.com.br,"Materiais para Desenho, Pintura, Caligrafia e mais - Koralle","Na Koralle você encontra materiais para pintura, desenho e escultura, além de diversas opções de Mes"
863746,https://medicalhealth.com.br,Medical Health,
863895,https://portalcoop.com.br,Home - Portal Coop,
863982,https://evangelizacao-infantil.blogspot.com.br,Evangelização Espírita Infantil,
864012,https://cosmeticaemfoco.com.br,Homepage » Cosmética em Foco,
864178,https://kid-bentinho.blogspot.com.br,Blogger,"Ferramenta de publicação de weblogues da Google para partilhar texto, fotos e vídeo."
864211,https://gpsnet.com.br,GPS Internet Fibra Óptica e muito mais,"A Internet fibra óptica dos Gaúchos, presente em mais de 60 municípios do Rio do Grande do Sul. Há m"
864215,https://abrh.org.br,Associação Brasileira de Resursos Hídricos,
864260,https://portalbras.com.br,Portal Bras - TODAS as lojas do Brás num só lugar,
864300,https://calendario2018brasil.com.br,CALENDÁRIO 2018 com feriados - todos os estados,Calendário 2018 BRASIL com ✓ feriados nacionais ✓ feriados estaduais ✓ indicação das semanas. Saiba 
864585,https://yarabrasil.com.br,Yara Brasil - Fertilizantes e nutrição para plantas,"A Yara cultiva conhecimento para alimentar o mundo e proteger o planeta, para cumprir sua visão de u"
865100,https://aumagic.blogspot.com.br,AUM MAGIC,
865310,https://petmag.com.br,"PetMag - Tudo sobre cães, gatos, peixes e outros pets","Aqui na Petmag você encontra notícias, artigos e recursos sobre cães, gatos, aves, peixes e animais "
865368,https://febrace.org.br,FEBRACE – Criatividade e Inovação,
865406,https://vagaemprego.com.br,"Vaga Emprego → Empregos, Estágios, Trainees, Processos Seletivos",
865461,https://hagnos.com.br,Editora Hagnos,
865761,https://mundomanga-kun.blogspot.com.br,MM-Kun,Bem-Vindo a Scan Mundo Manga-kun os melhores mangás estão aqui!
865792,https://netfla.com.br,NETFLA | Todas as Notícias do Flamengo em um só lugar,Veja tudo sobre o Flamengo em um só lugar. No Netfla você encontra notícias de várias fontes esporti
865969,https://coleciona.com.br,HOME | Coleciona Brinquedos,
865984,https://imogestao.com.br,imoGestão - Sistema para Imobiliárias,"Gerencie locações, vendas, divulgação em portais, faça a emissão de boletos, notas fiscais e se prec"
866098,https://tarotdoamor.com.br,"Tarot do Amor consultas online 100% grátis sobre Amor, Namoro, Casamento,Vida sentimental amorosa.","Tarot do amor consultas online sobre relacionamentos,namoro, casamento, futuro amoroso sentimental,v"
866109,https://caduchagas.blogspot.com.br,Direito a saber Direito.,
866166,https://brognoli.com.br,Brognoli Imóveis - Venda de imóveis na grande Florianópolis,Compra e Venda é a nossa especialidade há mais de 60 anos. Encontre o seu Imóvel em Florianópolis - 
866193,https://vanish.com.br,Vanish: Suas roupas como novas por mais tempo!,
866208,https://eleds.com.br,ENCONTRE LEDs PARA SUA LÂMPADA E PILHAS PARA MESA - ENCONTRE LEDS,Bem-vindo ao ENCONTRE LEDS! Aqui temos LEDs e pilhas para luzes de mesa. Graças à nossa grande varie
866457,https://infosolda.com.br,Inicial - Infosolda,
866790,https://selfitacademias.com.br,Selfit Academias,"Academia Selfit, a academia do seu jeito agora na sua casa. Acesse nossa plataforma digital ""em casa"
866855,https://dreambooks.com.br,"Dreambooks: Nº1 na Europa, chegou ao Brasil! - Dreambooks","Dreambooks Brasil, a encadernadora Nº1 na Europa, agora também no Brasil. Imprima as suas fotos em F"
866860,https://padrefelix.com.br,padrefelix.com.br,Este domínio pode estar à venda!
867046,https://bigcard.com.br,BigCard | Soluções e benefícios para você e sua empresa!,
867473,https://genera.com.br,"Genera - Ancestralidade, Saúde e Bem-Estar | Genera",
867479,https://wbxservicos.com.br,WBX – Serviços – Hospedagem e servidores,
867533,https://portalhortolandia.com.br,"Portal Hortolândia - Seu site de noticias, empregos e eventos na cidade - Portal Hortolândia",
867586,https://swingonline.com.br,Swing Certificado Cupons Site oficial - Seleção dos melhores produtos em promoção atualizadas diáriamente para você!,Site oficial - Seleção dos melhores produtos em promoção atualizadas diáriamente para você!
867828,https://webtrends.net.br,WebTrends Agência de Marketing Digital – Mkt Digital com Resultado,
867932,https://fantasyplay.com.br,Fantasy Play Brinquedos Tudo em Playground :,
867947,https://reporternaressi.com.br,Repórter Naressi - Notícias de Pirassununga e Região,"Jornalista, repórter e radialista com experiencia de 40 anos de profissão cobrindo os fatos que se t"
867972,https://religiaopura.com.br,,
868030,https://labcriativo.com.br,labcriativo.com.br,Este domínio pode estar à venda!
868064,https://probiotica.com.br,Suplementos | Compre suplementos na Probiotica,Somos pioneiros!Desde 1986 a Probiótica investe em um processo contínuo de pesquisa.Temos aqui Whey 
868071,https://viabella.com.br,,
868102,https://mmviveiros.com.br,Index of /,
868107,https://altavoltagemcamisetas.com.br,Alta Voltagem Camisetas,
868226,https://megalivros.com.br,Megalivros,
868320,https://biologia-no-vestibular.blogspot.com.br,Biologia no Vestibular,Tudo o que você precisa sobre Biologia no Vestibular!
868324,https://sublimetextdicas.com.br,Sublime Text Dicas - Dicas e truques para turbinar o Sublime Text,
868342,https://ocultoreveladoaverdade.blogspot.com.br,OCULTO REVELADO: A VERDADE,
868397,https://infocotidiano.com.br,Infocotidiano – Meu dia-a-dia tecnológico,
868446,https://publicloud.com.br,PubliCloud Azure,
868660,https://mensagemparaniversario.com.br,Mensagem de Aniversário,Mensagens de feliz aniversário para você enviar para uma pessoa querida. Encontre aqui as melhores M
868675,https://multiclubes.com.br,Cadastro - MultiClubes,"Modular e flexível: soluções sob medida para você, gestor!"
