id,url,name,description
86915,https://fccn.pt,"FCCN, Serviços Digitais FCT • Tecnologia para o conhecimento","A FCCN, Serviços Digitais FCT, gere a Rede Ciência Tecnologia e Sociedade e assegura serviços tecnol"
86973,https://souportista.pt,souportista.pt,Este domínio pode estar à venda!
87352,https://mne.pt,Portal Diplomático,O Portal Diplomático do MNE é o sítio web oficial do Ministério dos Negócios Estrangeiros. Saiba tud
87537,https://prof2000.pt,"Wallpapers.com | 500,000+ Papéis de Parede HD Grátis para Desktop, Celular e Tablets.","Wallpapers.com | 500,000+ Papéis de Parede HD Grátis para Desktop, Celular e Tablets."
89357,https://bomcondutor.pt,Testes Código IMTT 2024 | Escolas Condução | Bom Condutor,"Testes de código grátis com perguntas e imagens oficiais do IMTT 2024, diretório de escolas de condu"
89685,https://codigo-postal.pt,Código Postal,Serviço gratuito para pesquisar e validar um Código Postal. Obtenha informações como o nome da rua/m
90767,https://dges.gov.pt,DGES,
91116,https://rcaap.pt,RCAAP - Repositórios Científicos de Acesso Aberto de Portugal,
92165,https://hugogil.pt,Hugo Gil | O Benfica e o desporto,"Tudo sobre o Benfica e também o que se passa no ""desporto"" em Portugal. Defender, só o Benfica. Venc"
92551,https://vidas.pt,"Vidas: A ferver, festas, estilo e o mundo dos famosos.","As últimas notícias sobre festas, estilo e o mundo dos famosos. Todas as fotos e videos em https://w"
93642,https://conforama.pt,"Sofás, colchões, móveis, decoração e electrodomésticos - Conforama","Conforama loja online de sofás, colchões, móveis de sala, quartos, cozinhas, televisões e electrodom"
94245,https://ipl.pt,Home | Politécnico de Lisboa,
94349,https://bancoctt.pt,Banco CTT Online - O seu Banco em Portugal,O Banco CTT está sempre perto de si através das nossas 212 Lojas ou dos Canais Digitais. Conheça tod
94383,https://cm-lisboa.pt,"Lisboa.pt, o site oficial do Município de Lisboa - Municipio de Lisboa | Portal","Saiba como é gerido e organizado o município de Lisboa, a sua estratégia e ação governativa. Encontr"
94923,https://bol.pt,BOL - Comprar Bilhetes para Espectáculos,"Bilheteira Online onde pode comprar bilhetes para todos os concertos, festivais, workshops, eventos "
96187,https://iefp.pt,"Início - IEFP, I.P.",O IEFP é o serviço público de emprego nacional. Tem por missão promover a criação e a qualidade do e
96788,https://vip.pt,"VIP – Notícias sobre famosos, realeza e atualidade","As últimas notícias do mundo dos famosos, nacionais e internacionais, com destaque para a realeza. A"
97567,https://betclic.pt,"Apostas Desportivas - Futebol, Ténis, Basquetebol e mais - Betclic",
97583,https://radioonline.com.pt,"Rádio online Portugal, ouvir rádios online | Radioonline.com.pt",Rádio online (ícones). As suas rádios FM/AM de Portugal. Todas as rádios online numa página. Super f
98173,https://visaodemercado.blogspot.pt,Visão de Mercado,
98255,https://pgdlisboa.pt,Procuradoria-Geral Distrital de Lisboa,
98389,https://fcporto.pt,FC Porto,"O site oficial do FC Porto com as ultimas notícias, jogos, multimedia center, liveStream, live game,"
98891,https://azores.gov.pt,Portal do Governo dos Açores - Portal,O seu ponto de entrada unificado no universo de informações do Governo Regional dos Açores.
100630,https://inspiringlife.pt,"Inspiring Life - Descobre, Inspira-te, Vive","Descobre, Inspira-te, Vive"
103339,https://eco.pt,ECO – Economia Online,O ECO é um jornal económico digital que junta uma plataforma tecnológica inovadora a um jornalismo i
104466,https://radioregional.pt,RÁDIO REGIONAL | PORTUGAL,"A maior estação de Rádio de Trás-os-Montes e Alto Douro: Vila Real, Chaves, Bragança, e Mirandela. E"
105117,https://abreu.pt,"Agência Abreu | Férias, Viagens, Voos e Hotel",
106886,https://uma.pt,Universidade da Madeira,
107098,https://telepizza.pt,Encomenda a tua pizza e n?s fazemos a entrega em tua casa | Telepizza.pt,Conhece as melhores promo??es Telepizza e faz a tua encomenda na nossa loja online com entrega ao do
107749,https://mariahelena.pt,"Maria Helena Martins - Astrologia, Tarot, Terapias ...","MARIA HELENA, a taróloga que apresenta o programa 'A vida nas Cartas' na SIC, é especialista no Taro"
108154,https://fogos.pt,Fogos.pt - Início,
112496,https://utad.pt,Início | UTAD,"Cursos: licenciaturas, mestrados, doutoramentos, pós-graduações e profissionais. Centros de investig"
113106,https://mob.org.pt,Mob.org - os melhores jogos para celular,
113984,https://xl.pt,:: XL - Informação em grande ::,portuguese magazines revistas portuguesas
115179,https://castroelectronica.pt,"CASTRO ELECTRÓNICA - Nº1 Electronics Store in Portugal | Castro Electrónica, Lda","THE WORLD OF TECHNOLOGY IS HERE, WITH MORE THAN 100.000 PRODUCTS IN STOCK. BUY AND PAY WITH SECURITY"
115567,https://expresso.pt,Expresso,"O Expresso tem opinião, notícias de política, economia, mundo, cultura e última hora. Há podcasts, m"
117690,https://homify.pt,"Decoração, design de interiores, ideias para cozinhas e casas de banho | homify","A homify tem milhares de fotos de casas, apartamentos, salas, cozinhas, jardins entre outras. Aqui e"
118063,https://sporttv.pt,sport tv - direto à emoção,Veja os melhores canais
120991,https://tiendeo.pt,Tiendeo |  Folhetos e Catálogos das lojas da sua cidade,"Descubra os descontos, cupões e informação das suas lojas favoritas. ✅ A plataforma líder para plane"
121745,https://lexico.pt,Dicionário de Português Online - Léxico.pt,"O Léxico é um Dicionário de Português Online com significados, definições e sinónimos das palavras d"
121942,https://expressoemprego.pt,Expresso Emprego | A sua Carreira é o nosso Trabalho |,
122914,https://autosport.pt,AutoSport - Especialistas em desporto automóvel,"AutoSport - Especialistas em desporto automóvel, Fórmula1, Rally, WRC, DTM, WEC, WTCC, NASCAR, INDY,"
